DATE,HOMICIDIOS_MUJERES
1-1-2005,1
1-1-2013,5
1-1-2013,18
1-1-2022,4
1-10-2012,1
1-10-2013,3
1-11-2013,7
1-12-2013,5
1-13-2013,7
1-14-2013,7
1-15-2012,1
1-15-2013,5
1-16-2013,4
1-17-2013,4
1-18-2013,6
1-19-2013,3
1-2-2013,9
1-20-2013,2
1-21-2013,9
1-22-2013,6
1-23-2013,6
1-24-2013,5
1-25-2013,5
1-26-2012,1
1-26-2013,9
1-27-2013,10
1-28-2013,7
1-29-2013,7
1-3-2013,11
1-30-2013,11
1-31-2013,5
1-4-2013,6
1-5-2013,7
1-6-2012,2
1-6-2013,7
1-7-2012,1
1-7-2013,8
1-8-2013,5
1-9-2013,5
10-1-2012,1
10-1-2013,6
10-10-2012,1
10-10-2013,3
10-11-2012,1
10-11-2013,2
10-12-2012,1
10-12-2013,8
10-13-2010,1
10-13-2013,9
10-14-2013,7
10-15-2013,2
10-16-2013,10
10-17-2013,9
10-18-2013,5
10-19-2013,6
10-2-2013,4
10-20-2013,15
10-21-2013,11
10-22-2012,1
10-22-2013,8
10-23-2013,7
10-24-2013,7
10-25-2013,7
10-26-2012,2
10-26-2013,2
10-27-2013,5
10-28-2013,6
10-29-2013,7
10-3-2013,8
10-30-2013,7
10-31-2012,1
10-31-2013,6
10-4-2013,8
10-5-2013,16
10-6-2013,9
10-7-2009,1
10-7-2012,1
10-7-2013,8
10-8-2013,5
10-9-2012,1
10-9-2013,4
11-1-2012,3
11-1-2013,8
11-10-2013,6
11-11-2013,8
11-12-2012,1
11-12-2013,8
11-13-2013,4
11-14-2013,1
11-15-2013,5
11-16-2012,1
11-16-2013,9
11-17-2013,9
11-18-2013,6
11-19-2013,8
11-2-2013,7
11-20-2013,6
11-21-2013,5
11-22-2012,2
11-22-2013,4
11-23-2013,6
11-24-2012,3
11-24-2013,6
11-25-2012,1
11-25-2013,7
11-26-2012,2
11-26-2013,5
11-27-2013,4
11-28-2013,5
11-29-2013,10
11-3-2012,2
11-3-2013,9
11-30-2013,2
11-4-2012,1
11-4-2013,9
11-5-2010,1
11-5-2013,6
11-6-2013,2
11-7-2013,7
11-8-2013,6
11-9-2013,7
12-1-2013,7
12-10-2012,1
12-10-2013,6
12-11-2013,5
12-12-2013,1
12-13-2012,1
12-13-2013,9
12-14-2012,2
12-14-2013,13
12-15-2012,2
12-15-2013,8
12-16-2012,2
12-16-2013,9
12-17-2012,4
12-17-2013,6
12-18-2012,2
12-18-2013,11
12-19-2012,2
12-19-2013,8
12-2-2013,6
12-20-2012,1
12-20-2013,6
12-21-2012,1
12-21-2013,5
12-22-2012,1
12-22-2013,9
12-23-2012,2
12-23-2013,7
12-24-2012,5
12-24-2013,3
12-25-2012,5
12-25-2013,6
12-26-2012,3
12-26-2013,3
12-27-2013,3
12-28-2012,3
12-28-2013,3
12-29-2012,5
12-29-2013,4
12-3-2013,6
12-30-2012,4
12-30-2013,3
12-31-2012,8
12-31-2013,1
12-4-2012,1
12-4-2013,5
12-5-2013,9
12-6-2012,1
12-6-2013,6
12-7-2012,1
12-7-2013,5
12-8-2012,1
12-8-2013,5
12-9-2012,1
12-9-2013,5
2-1-2013,8
2-10-2013,7
2-11-2013,2
2-12-2013,4
2-13-2012,1
2-13-2013,2
2-14-2013,5
2-15-2013,7
2-16-2013,8
2-17-2010,1
2-17-2013,7
2-18-2013,3
2-19-2013,9
2-2-2013,12
2-20-2013,7
2-21-2013,11
2-22-2013,6
2-23-2013,14
2-24-2013,13
2-25-2013,6
2-26-2013,4
2-27-2013,18
2-28-2013,7
2-3-2013,6
2-4-2013,7
2-5-2013,6
2-6-2013,3
2-7-2013,4
2-8-2013,8
2-9-2013,9
3-1-2013,11
3-10-2012,1
3-10-2013,8
3-11-2012,1
3-11-2013,9
3-12-2013,8
3-13-2013,4
3-14-2013,10
3-15-2012,1
3-15-2013,2
3-16-2012,1
3-16-2013,12
3-17-2013,11
3-18-2013,14
3-19-2011,1
3-19-2013,9
3-2-2013,7
3-20-2013,6
3-21-2013,6
3-22-2013,2
3-23-2013,6
3-24-2013,9
3-25-2010,1
3-25-2013,11
3-26-2013,6
3-27-2013,5
3-28-2013,12
3-29-2013,9
3-3-2013,14
3-30-2013,10
3-31-2013,4
3-4-2013,10
3-5-2013,6
3-6-2013,6
3-7-2013,13
3-8-2013,3
3-9-2013,8
4-1-2013,13
4-10-2013,5
4-11-2013,7
4-12-2012,1
4-12-2013,9
4-13-2013,10
4-14-2013,9
4-15-2013,12
4-16-2013,7
4-17-2013,8
4-18-2013,7
4-19-2013,7
4-2-2012,1
4-2-2013,2
4-20-2013,10
4-21-2013,14
4-22-2013,5
4-23-2013,9
4-24-2013,5
4-25-2013,5
4-26-2013,5
4-27-2013,4
4-28-2011,2
4-28-2013,17
4-29-2013,4
4-3-2013,6
4-30-2013,5
4-4-2013,13
4-5-2012,1
4-5-2013,11
4-6-2013,7
4-7-2013,8
4-8-2013,7
4-9-2013,10
5-1-2012,1
5-1-2013,5
5-10-2013,5
5-11-2013,10
5-12-2013,5
5-13-2013,7
5-14-2013,8
5-15-2013,8
5-16-2013,6
5-17-2013,5
5-18-2013,5
5-19-2013,12
5-2-2009,1
5-2-2013,6
5-20-2013,12
5-21-2013,10
5-22-2013,6
5-23-2013,7
5-24-2013,7
5-25-2012,1
5-25-2013,3
5-26-2013,6
5-27-2013,3
5-28-2013,8
5-29-2013,4
5-3-2013,6
5-30-2013,5
5-31-2013,9
5-4-2013,10
5-5-2013,9
5-6-2013,6
5-7-2013,7
5-8-2013,5
5-9-2013,6
6-1-2013,10
6-10-2013,12
6-11-2013,4
6-12-2013,5
6-13-2013,5
6-14-2012,1
6-14-2013,7
6-15-2013,5
6-16-2013,14
6-17-2010,1
6-17-2011,1
6-17-2013,2
6-18-2013,5
6-19-2013,9
6-2-2013,8
6-20-2013,5
6-21-2013,7
6-22-2013,13
6-23-2013,6
6-24-2011,1
6-24-2013,9
6-25-2013,5
6-26-2013,6
6-27-2013,6
6-28-2013,5
6-29-2013,6
6-3-2013,9
6-30-2013,9
6-4-2013,8
6-5-2013,7
6-6-2013,5
6-7-2013,6
6-8-2013,8
6-9-2013,10
7-1-2013,7
7-10-2013,2
7-11-2013,1
7-12-2013,5
7-13-2012,1
7-13-2013,5
7-14-2013,10
7-15-2013,7
7-16-2013,3
7-17-2012,1
7-17-2013,7
7-18-2013,6
7-19-2013,8
7-2-2013,7
7-20-2013,6
7-21-2013,12
7-22-2013,8
7-23-2013,6
7-24-2013,3
7-25-2013,6
7-26-2013,4
7-27-2011,1
7-27-2012,1
7-27-2013,9
7-28-2012,1
7-28-2013,6
7-29-2013,6
7-3-2012,1
7-3-2013,7
7-30-2013,6
7-31-2013,12
7-4-2013,5
7-5-2013,7
7-6-2013,5
7-7-2013,4
7-8-2012,1
7-8-2013,9
7-9-2013,7
8-1-2012,1
8-1-2013,6
8-10-2013,11
8-11-2013,5
8-12-2013,7
8-13-2013,10
8-14-2013,4
8-15-2013,3
8-16-2013,6
8-17-2011,1
8-17-2012,1
8-17-2013,6
8-18-2013,10
8-19-2011,1
8-19-2013,4
8-2-2013,8
8-20-2013,7
8-21-2013,4
8-22-2013,10
8-23-2013,4
8-24-2013,3
8-25-2012,1
8-25-2013,8
8-26-2013,3
8-27-2013,4
8-28-2013,4
8-29-2013,7
8-3-2013,3
8-30-2013,5
8-31-2012,1
