year4,index_state,feminicidios,estado,num_state
1990,1.00,3,Aguascalientes,1.00
1990,2.00,29,Baja California,2.00
1990,4.00,9,Baja California Sur,3.00
1990,5.00,15,Campeche,4.00
1990,6.00,2,Coahuila de Zaragoza,5.00
1990,7.00,28,Colima,6.00
1990,8.00,27,Chiapas,7.00
1990,9.00,144,Chihuahua,8.00
1990,10.00,15,Ciudad de México,9.00
1990,11.00,36,Durango,10.00
1990,12.00,44,Guanajuato,11.00
1990,13.00,35,Guerrero,12.00
1990,14.00,67,Hidalgo,13.00
1990,15.00,575,Jalisco,14.00
1990,16.00,56,México,15.00
1990,17.00,30,Michoacán de Ocampo,16.00
1990,18.00,20,Morelos,17.00
1990,19.00,9,Nayarit,18.00
1990,20.00,100,Nuevo León,19.00
1990,21.00,58,Oaxaca,20.00
1990,22.00,12,Puebla,21.00
1990,23.00,2,Querétaro,22.00
1990,24.00,10,Quintana Roo,23.00
1990,25.00,32,San Luis Potosí,24.00
1990,26.00,20,Sinaloa,25.00
1990,27.00,10,Sonora,26.00
1990,28.00,26,Tabasco,27.00
1990,29.00,7,Tamaulipas,28.00
1990,30.00,65,Tlaxcala,29.00
1990,31.00,9,Veracruz de Ignacio de la Llave,30.00
1990,32.00,21,Yucatán,31.00
1991,1.00,9,Zacatecas,32.00
1991,2.00,19,,
1991,3.00,5,,
1991,4.00,9,,
1991,5.00,12,,
1991,6.00,10,,
1991,7.00,62,,
1991,8.00,33,,
1991,9.00,102,,
1991,10.00,25,,
1991,11.00,28,,
1991,12.00,72,,
1991,13.00,16,,
1991,14.00,86,,
1991,15.00,564,,
1991,16.00,82,,
1991,17.00,25,,
1991,18.00,15,,
1991,19.00,13,,
1991,20.00,83,,
1991,21.00,47,,
1991,22.00,8,,
1991,23.00,4,,
1991,24.00,15,,
1991,25.00,25,,
1991,26.00,18,,
1991,27.00,20,,
1991,28.00,39,,
1991,29.00,6,,
1991,30.00,70,,
1991,31.00,3,,
1991,32.00,7,,
1992,1.00,2,,
1992,2.00,32,,
1992,4.00,9,,
1992,5.00,20,,
1992,6.00,9,,
1992,7.00,53,,
1992,8.00,39,,
1992,9.00,127,,
1992,10.00,24,,
1992,11.00,33,,
1992,12.00,116,,
1992,13.00,17,,
1992,14.00,79,,
1992,15.00,553,,
1992,16.00,72,,
1992,17.00,27,,
1992,18.00,21,,
1992,19.00,17,,
1992,20.00,95,,
1992,21.00,50,,
1992,22.00,10,,
1992,23.00,11,,
1992,24.00,15,,
1992,25.00,34,,
1992,26.00,21,,
1992,27.00,10,,
1992,28.00,33,,
1992,29.00,7,,
1992,30.00,65,,
1992,31.00,6,,
1992,32.00,13,,
1993,1.00,3,,
1993,2.00,28,,
1993,3.00,2,,
1993,4.00,5,,
1993,5.00,18,,
1993,6.00,6,,
1993,7.00,50,,
1993,8.00,32,,
1993,9.00,121,,
1993,10.00,16,,
1993,11.00,37,,
1993,12.00,71,,
1993,13.00,10,,
1993,14.00,67,,
1993,15.00,551,,
1993,16.00,98,,
1993,17.00,44,,
1993,18.00,17,,
1993,19.00,12,,
1993,20.00,102,,
1993,21.00,77,,
1993,22.00,5,,
1993,23.00,7,,
1993,24.00,18,,
1993,25.00,28,,
1993,26.00,11,,
1993,27.00,13,,
1993,28.00,26,,
1993,29.00,4,,
1993,30.00,58,,
1993,31.00,6,,
1993,32.00,5,,
1994,1.00,4,,
1994,2.00,30,,
1994,3.00,2,,
1994,4.00,6,,
1994,5.00,14,,
1994,6.00,8,,
1994,7.00,69,,
1994,8.00,39,,
1994,9.00,113,,
1994,10.00,20,,
1994,11.00,32,,
1994,12.00,99,,
1994,13.00,15,,
1994,14.00,56,,
1994,15.00,481,,
1994,16.00,78,,
1994,17.00,30,,
1994,18.00,16,,
1994,19.00,14,,
1994,20.00,87,,
1994,21.00,47,,
1994,22.00,8,,
1994,23.00,16,,
1994,24.00,16,,
1994,25.00,35,,
1994,26.00,18,,
1994,27.00,22,,
1994,28.00,36,,
1994,29.00,1,,
1994,30.00,50,,
1994,31.00,4,,
1994,32.00,8,,
1995,1.00,5,,
1995,2.00,30,,
1995,3.00,8,,
1995,4.00,10,,
1995,5.00,14,,
1995,6.00,6,,
1995,7.00,72,,
1995,8.00,74,,
1995,9.00,110,,
1995,10.00,16,,
1995,11.00,30,,
1995,12.00,83,,
1995,13.00,22,,
1995,14.00,72,,
1995,15.00,415,,
1995,16.00,81,,
1995,17.00,35,,
1995,18.00,19,,
1995,19.00,16,,
1995,20.00,109,,
1995,21.00,73,,
1995,22.00,6,,
1995,23.00,9,,
1995,24.00,21,,
1995,25.00,27,,
1995,26.00,18,,
1995,27.00,24,,
1995,28.00,29,,
1995,29.00,7,,
1995,30.00,60,,
1995,31.00,6,,
1995,32.00,11,,
1996,1.00,4,,
1996,2.00,40,,
1996,3.00,3,,
1996,4.00,8,,
1996,5.00,11,,
1996,6.00,5,,
1996,7.00,65,,
1996,8.00,77,,
1996,9.00,111,,
1996,10.00,6,,
1996,11.00,27,,
1996,12.00,78,,
1996,13.00,11,,
1996,14.00,71,,
1996,15.00,408,,
1996,16.00,114,,
1996,17.00,37,,
1996,18.00,12,,
1996,19.00,13,,
1996,20.00,104,,
1996,21.00,56,,
1996,22.00,15,,
1996,23.00,7,,
1996,24.00,19,,
1996,25.00,19,,
1996,26.00,22,,
1996,27.00,15,,
1996,28.00,25,,
1996,29.00,12,,
1996,30.00,45,,
1996,31.00,5,,
1996,32.00,12,,
1997,1.00,3,,
1997,2.00,26,,
1997,3.00,1,,
1997,4.00,8,,
1997,5.00,16,,
1997,6.00,4,,
1997,7.00,71,,
1997,8.00,74,,
1997,9.00,116,,
1997,10.00,13,,
1997,11.00,19,,
1997,12.00,84,,
1997,13.00,21,,
1997,14.00,56,,
1997,15.00,379,,
1997,16.00,65,,
1997,17.00,21,,
1997,18.00,9,,
1997,19.00,20,,
1997,20.00,87,,
1997,21.00,50,,
1997,22.00,18,,
1997,23.00,12,,
1997,24.00,9,,
1997,25.00,26,,
1997,26.00,20,,
1997,27.00,20,,
1997,28.00,24,,
1997,29.00,9,,
1997,30.00,69,,
1997,31.00,6,,
1997,32.00,9,,
1998,1.00,12,,
1998,2.00,60,,
1998,3.00,5,,
1998,4.00,8,,
1998,5.00,21,,
1998,6.00,14,,
1998,7.00,103,,
1998,8.00,76,,
1998,9.00,147,,
1998,10.00,19,,
1998,11.00,32,,
1998,12.00,104,,
1998,13.00,19,,
1998,14.00,64,,
1998,15.00,351,,
1998,16.00,58,,
1998,17.00,23,,
1998,18.00,6,,
1998,19.00,16,,
1998,20.00,80,,
1998,21.00,75,,
1998,22.00,3,,
1998,23.00,12,,
1998,24.00,27,,
1998,25.00,33,,
1998,26.00,25,,
1998,27.00,17,,
1998,28.00,35,,
1998,29.00,12,,
1998,30.00,48,,
1998,31.00,10,,
1998,32.00,12,,
1999,2.00,52,,
1999,3.00,5,,
1999,4.00,6,,
1999,5.00,18,,
1999,6.00,10,,
1999,7.00,75,,
1999,8.00,48,,
1999,9.00,127,,
1999,10.00,20,,
1999,11.00,39,,
1999,12.00,90,,
1999,13.00,23,,
1999,14.00,63,,
1999,15.00,312,,
1999,16.00,35,,
1999,17.00,45,,
1999,18.00,10,,
1999,19.00,14,,
1999,20.00,78,,
1999,21.00,59,,
1999,22.00,14,,
1999,23.00,14,,
1999,24.00,32,,
1999,25.00,38,,
1999,26.00,27,,
1999,27.00,19,,
1999,28.00,45,,
1999,29.00,16,,
1999,30.00,50,,
1999,31.00,11,,
1999,32.00,8,,
2000,1.00,4,,
2000,2.00,32,,
2000,3.00,5,,
2000,4.00,5,,
2000,5.00,16,,
2000,6.00,9,,
2000,7.00,52,,
2000,8.00,58,,
2000,9.00,109,,
2000,10.00,10,,
2000,11.00,39,,
2000,12.00,76,,
2000,13.00,16,,
2000,14.00,58,,
2000,15.00,320,,
